Model,Tenure,Millage,RVType,Amount
Innova,36,15000,LRV,21000
Innova,36,15000,HRV,15000
Innova,48,15000,LRV,20000
Innova,48,15000,HRV,14000
Innova,60,15000,LRV,19000
Innova,60,15000,HRV,13000
Innova,36,20000,LRV,22000
Innova,36,20000,HRV,16000
Innova,48,20000,LRV,19000
Innova,48,20000,HRV,16000
Innova,60,20000,LRV,23000
Innova,60,20000,HRV,19000
Innova,36,30000,LRV,22000
Innova,36,30000,HRV,9000
Innova,48,30000,LRV,31000
Innova,48,30000,HRV,18000
Innova,60,30000,LRV,19000
Innova,60,30000,HRV,10000
